prescriber_id,territory_id,specialty,monthly_rx_volume,prescriber_tier,our_brand_rx_share
DOC00001,15,Diabetologist,48.603906457403845,A,35.09
DOC00002,32,Diabetologist,15.079971185702501,B,34.11
DOC00003,75,Cardiologist,48.378083562094545,A,5.78
DOC00004,20,Cardiologist,105.16644715579008,A,4.82
DOC00005,15,GP,23.73352089086831,B,33.29
DOC00006,48,Cardiologist,17.458289701133765,B,35.5
DOC00007,71,Cardiologist,10.12096607823414,C,29.15
DOC00008,21,GP,36.199885036290766,B,22.2
DOC00009,42,Cardiologist,102.65681329997176,A,31.4
DOC00010,26,Cardiologist,13.979333687548646,C,15.86
DOC00011,14,GP,18.316182314464967,B,33.56
DOC00012,57,Cardiologist,19.002762932611674,B,29.47
DOC00013,37,Cardiologist,31.557806639863806,B,31.21
DOC00014,58,GP,9.027890256953963,C,32.38
DOC00015,21,GP,77.84097501819748,A,34.82
DOC00016,69,Diabetologist,12.389917468052492,C,25.24
DOC00017,3,Cardiologist,50.281003651478116,A,3.85
DOC00018,37,Diabetologist,27.122129147886763,B,31.17
DOC00019,49,Diabetologist,34.162379405125144,B,36.68
DOC00020,19,GP,6.82174253257013,C,21.98
DOC00021,12,Cardiologist,55.691193782681395,A,32.8
DOC00022,61,Cardiologist,7.215767743389789,C,31.16
DOC00023,41,GP,4.096497004505029,C,32.59
DOC00024,33,Diabetologist,30.176187145717172,B,31.3
DOC00025,50,GP,50.9559481533596,A,34.83
DOC00026,68,Cardiologist,1.7257559539368916,C,28.69
DOC00027,71,GP,2.4263244593901723,C,27.13
DOC00028,33,Cardiologist,71.76803606817003,A,3.97
DOC00029,24,Diabetologist,73.65221622778179,A,5.56
DOC00030,61,Cardiologist,9.835514355601926,C,34.96
DOC00031,61,Diabetologist,37.48825165957517,B,17.06
DOC00032,28,Diabetologist,21.551897884276894,B,32.44
DOC00033,58,Cardiologist,39.634091487038134,B,35.42
DOC00034,43,Cardiologist,93.92433432124527,A,27.42
DOC00035,41,Diabetologist,2.813024206759218,C,36.11
DOC00036,39,GP,65.14756949538172,A,6.27
DOC00037,49,Cardiologist,25.41197024261288,B,25.12
DOC00038,17,Diabetologist,31.890442531056618,B,29.04
DOC00039,70,Diabetologist,42.433643751200734,B,24.24
DOC00040,70,GP,134.67292319579812,A,31.23
DOC00041,65,Cardiologist,1.9654681225200532,C,23.79
DOC00042,74,Diabetologist,1.0023067793959894,C,17.72
DOC00043,5,GP,6.763344770872193,C,13.9
DOC00044,2,Diabetologist,319.43301190862917,A,26.93
DOC00045,22,Cardiologist,51.96975935363173,A,3.82
DOC00046,57,GP,37.41839630602908,B,34.05
DOC00047,66,Diabetologist,1.6190114144198464,C,36.19
DOC00048,74,GP,102.24143691339474,A,36.14
DOC00049,16,Cardiologist,74.79594615954448,A,22.55
DOC00050,51,GP,43.956744121062165,B,23.98
DOC00051,39,Cardiologist,14.805184119499826,B,24.7
DOC00052,76,Diabetologist,2.467067446155413,C,27.05
DOC00053,40,Cardiologist,33.53553059952523,B,33.71
DOC00054,38,Diabetologist,52.79981571701153,A,29.12
DOC00055,60,Diabetologist,3.354409529309854,C,32.56
