prescriber_id,territory_id,specialty,monthly_rx_volume,prescriber_tier
DOC00001,15,Diabetologist,48.603906457403845,A
DOC00002,32,Diabetologist,15.079971185702501,B
DOC00003,75,Cardiologist,48.378083562094545,A
DOC00004,20,Cardiologist,105.16644715579008,A
DOC00005,15,GP,23.73352089086831,B
DOC00006,48,Cardiologist,17.458289701133765,B
DOC00007,71,Cardiologist,10.12096607823414,C
DOC00008,21,GP,36.199885036290766,B
DOC00009,42,Cardiologist,102.65681329997176,A
DOC00010,26,Cardiologist,13.979333687548646,C
DOC00011,14,GP,18.316182314464967,B
DOC00012,57,Cardiologist,19.002762932611674,B
DOC00013,37,Cardiologist,31.557806639863806,B
DOC00014,58,GP,9.027890256953963,C
DOC00015,21,GP,77.84097501819748,A
DOC00016,69,Diabetologist,12.389917468052492,C
DOC00017,3,Cardiologist,50.281003651478116,A
DOC00018,37,Diabetologist,27.122129147886763,B
DOC00019,49,Diabetologist,34.162379405125144,B
DOC00020,19,GP,6.82174253257013,C
DOC00021,12,Cardiologist,55.691193782681395,A
DOC00022,61,Cardiologist,7.215767743389789,C
DOC00023,41,GP,4.096497004505029,C
DOC00024,33,Diabetologist,30.176187145717172,B
DOC00025,50,GP,50.9559481533596,A
DOC00026,68,Cardiologist,1.7257559539368916,C
DOC00027,71,GP,2.4263244593901723,C
DOC00028,33,Cardiologist,71.76803606817003,A
DOC00029,24,Diabetologist,73.65221622778179,A
DOC00030,61,Cardiologist,9.835514355601926,C
DOC00031,61,Diabetologist,37.48825165957517,B
DOC00032,28,Diabetologist,21.551897884276894,B
DOC00033,58,Cardiologist,39.634091487038134,B
DOC00034,43,Cardiologist,93.92433432124527,A
DOC00035,41,Diabetologist,2.813024206759218,C
DOC00036,39,GP,65.14756949538172,A
DOC00037,49,Cardiologist,25.41197024261288,B
DOC00038,17,Diabetologist,31.890442531056618,B
DOC00039,70,Diabetologist,42.433643751200734,B
DOC00040,70,GP,134.67292319579812,A
DOC00041,65,Cardiologist,1.9654681225200532,C
DOC00042,74,Diabetologist,1.0023067793959894,C
DOC00043,5,GP,6.763344770872193,C
DOC00044,2,Diabetologist,319.43301190862917,A
DOC00045,22,Cardiologist,51.96975935363173,A
DOC00046,57,GP,37.41839630602908,B
DOC00047,66,Diabetologist,1.6190114144198464,C
DOC00048,74,GP,102.24143691339474,A
DOC00049,16,Cardiologist,74.79594615954448,A
DOC00050,51,GP,43.956744121062165,B
DOC00051,39,Cardiologist,14.805184119499826,B
DOC00052,76,Diabetologist,2.467067446155413,C
DOC00053,40,Cardiologist,33.53553059952523,B
DOC00054,38,Diabetologist,52.79981571701153,A
DOC00055,60,Diabetologist,3.354409529309854,C
DOC00056,59,Cardiologist,39.77015151854548,B
DOC00057,10,Diabetologist,11.902941526020228,C
DOC00058,64,GP,61.87478988901336,A
DOC00059,63,Diabetologist,29.506990821657197,B
DOC00060,49,Cardiologist,4.712869944269271,C
